sheet,cell,link
"Sheet1","B2","https://youtu.be/tAJkacN88ic?si=q2FOEqntdKueW1Fr"
"Sheet1","B3","https://youtu.be/VhpiowlliLI?si=YRHHsehkfZafEImU"
"Sheet1","B4","https://youtu.be/lYGBsKJ0LYs?si=qa8CjxkzTacMR8pa"
"Sheet1","B5","https://www.youtube.com/live/wQp01vd9hb4?si=es01fqa4E7UdBbQE"
"Sheet1","B6","https://www.youtube.com/live/wR6kjX2vHNU?si=uPfRvecwr0X81-7o"
"Sheet1","B7","https://www.youtube.com/live/S_ihSpnNhXU?si=lXMFOoJfN-hCy7Gp"
"Sheet1","B8","https://youtu.be/vER0Fsazwe0?si=tR4sJ9qDeA9UtEL2"
"Sheet1","B9","https://youtu.be/NOu2YoxVyvY?si=qr6ofIQilqzuQIaK"
"Sheet1","B10","https://youtu.be/K_gbborBB_A?si=qjbxa1VqPWmTh85b"
"Sheet1","B11","https://youtu.be/uOz2jyshMO8?si=EzP0_DPQjkoJYX2a"
